"STUDY_ID","REVIEWERS","INCLUDE","journal","abstract","title","volume","pages","author"
"16","Aaron_1","NO","Acta tropica","Prompt diagnosis and appropriate treatment of malaria remain the hallmark for reducing malaria-related mortality in high transmission areas. Plasmodium falciparum histidine-rich protein2 (PfHRP2) based rapid diagnostic tests (RDT) play a vital role in prompt and accurate malaria diagnosis. However, pfhrp2 gene deletion threatens the RDT test sensitivity. This study reports the presence of pfhrp2 and pfhrp3 genes deletion among parasite isolates in Nigeria. Febrile children were screened using histidine-rich protein (HRP2) specific RDT (SD-Bioline RDT) and microscopy for P. falciparum infections. All RDT negative samples were re-evaluated by polymerase chain reaction (PCR). The presence of parasite in RDT false negative cases and randomly selected RDT positive cases were validated using PCRs targeting glutamate-rich protein (glurp) and merozoite surface proteins (msp-1 and msp-2). Thereafter, exon 2 of pfhrp2 and pfhrp3 were amplified, and Sanger sequenced. A total of 511 febrile children were enrolled out of which 309 (61%) were positive by RDT. The presence of pfhrp2 and pfhrp3 genes were analyzed in 66 PCR positive samples comprising of 31 RDT false negative and 35 RDT true positive randomly selected samples. The pfhrp2 and pfhrp3 genes failed to amplify in 17% (11/66) and 6% (4/66) samples, respectively. Seven of the eleven samples had only pfhrp2 deletion while four had both pfhrp2 and pfhrp3 deletions. The absence of the pfhrp2 gene may be responsible for the seven RDT false negative cases observed. Three RDT positive cases lacked pfhrp2 whereas pfhrp3 was absent in only four RDT false negative cases. The pfhrp2 and pfhrp3 amino acid repeat sequences were highly diverse. The P. falciparum isolates lacking pfhrp2 and pfhrp3 genes may be circulating and contributing to RDT false negativity in Nigeria. More studies in larger population and seasonally defined cases will be needed to determine the extent of pfhrp2/3 genes deletion in different geographical areas of Nigeria.","Molecular surveillance of pfhrp2 and pfhrp3 genes deletion in Plasmodium falciparum isolates and the implications for rapid diagnostic tests in Nigeria.","196","121-125","Funwei R and Nderu D and Nguetse CN and Thomas BN and Falade CO and Velavan TP and Ojurongbe O"
"17","Aaron_1","NO","Experimental & applied acarology","Arthropods, especially ixodid ticks, have been incriminated in the epidemiology of Spotted Fever Group rickettsioses globally leading to an increasing spectrum of emerging and re-emerging zoonoses with attendant consequences on trade and tourism. The objective of this study was to determine the role of ixodid ticks infesting small ruminants in Plateau State, Nigeria, in the epidemiology of Spotted Fever Group Rickettsiae (SFGR) in the study area. DNA from 130 out of 323 ixodid ticks collected from 179 goats and 121 sheep owned by agro-pastoralists in Plateau State were screened for the evidence of SFGR by molecular methods. Six tick species from four genera were identified: Amblyomma, Hyalomma, Rhipicephalus (Boophilus) and Rhipicephalus. Rhipicephalus sanguineus sensu lato (s.l.) was the predominant (54.5%) species among collected ticks. Tick infestation was significantly associated with the species of small ruminants, the sex of the animals and the sampling locations except for Jos South. Conventional PCR targeting the 381 bp of the citrate synthase (gltA) and 820 bp of the outer membrane protein B (ompB) genes detected DNA of SFGR in nine and eight samples, respectively. Sequence analysis revealed that five sequences obtained from Amblyomma variegatum were 99-100% identical to Rickettsia africae and three sequences from Rh. sanguineus (s.l.) were 100% identical to Rickettsia massiliae reported from Spain. To our knowledge, this is the first report of the detection of R. africae DNA in Am. variegatum collected from small ruminants in Plateau State. Ixodid ticks infesting small ruminants in Plateau state harbor DNA of SFGR with potential veterinary and public health implications.","Rickettsia africae and Rickettsia massiliae in ixodid ticks infesting small ruminants in agro-pastoral settlements in Plateau State, Nigeria.","89","117-130","Nnabuife HE and Matur B and Ogo NI and Goselle O and Shittu I and Mkpuma N and Obishakin E and Chima N and Kamani J"
"20","Aaron_1","NO","Chemotherapy","BACKGROUND: The characterization of β-lactamase production in Pseudomonasaeruginosa is rarely reported in Nigeria. The objective of this study was to investigate the occurrence and characterize the different β-lactamases as well as mechanisms of fluoroquinolones resistance among P. aeruginosa isolated from various clinical sources from Nigeria. MATERIALS AND METHOD: Isolates were investigated using PCR, RFLP and sequencing for the detection of various β-lactamases and efflux pump regulator genes. RESULT: The prevalence of OXA-10, AmpC, CTX-M and SHV in P. aeruginosa was 80, 70, 5 and 5%, respectively. The coexistence of blaOXA-10 with blaAmpC, blaSHV and blaCTX-M was reported in 40, 5 and 5% of isolates, respectively. The efflux pump regulator genes mexR and nfxB were both amplified in 45% of the OXA-10-positive isolates. CONCLUSION: This is the first report of the characterization of OXA-10 extended-spectrum β-lactamases and occurrence of mexR and nfxB efflux regulator genes in clinical isolates of P. aeruginosa in Nigeria.","First Detection of OXA-10 Extended-Spectrum Beta-Lactamases and the Occurrence of mexR and nfxB in Clinical Isolates of Pseudomonas aeruginosa from Nigeria.","61","87-92","Odumosu BT and Adeniyi BA and Chandra R"
"21","Aaron_1","NO","European journal of immunogenetics : official journal of the British Society for and Histocompatibility and Immunogenetics","We have characterized TAP allele frequencies in a panel of 71 Yoruba Nigerians using ARMS-PCR. With the exception that TAP 2D was absent in Nigerians, TAP 2 allele frequencies in this population were found to be similar to those in a UK white population. HLA-DR4 also was found to be at a low frequency in Yoruba Nigerians (1.4%). This may reflect the absence of TAP 2D in Nigerians as DR4 and TAP 2D are in linkage disequilibrium in UK Caucasoids. The most frequent TAP 1 allele in Yoruba Nigerians was TAP 1A (49%). However, this value will be an underestimate as TAP1 alleles could not be unequivocally assigned in 41% of subjects using the ARMS-PCR methodology.","Absence of TAP 2D in Yoruba Nigerians.","22","187-90","Awomoyi AA and Donn RP and Davies EJ and Carthy D and Thomson W and Ollier WE"
"22","Aaron_1","NO","PLoS neglected tropical diseases","METHODS: All State TB control programmes in Nigeria were requested to submit 25-50 smear-positive Ziehl-Neelsen (ZN) stained slides for screening during 2013-2014. DNA was extracted from 929 slides for spoligotyping and drug-resistance analysis using microbead-based flow-cytometry suspension arrays. RESULTS: Spoligotyping results were obtained for 549 (59.1%) of 929 samples. Lineage 4 Cameroon sublineage (L4.6.2) represented half of the patterns, Mycobacterium africanum (L5 and L6) represented one fifth of the patterns, and all other lineages, including other L4 sublineages, represented one third of the patterns. Sublineage L4.6.2 was mostly identified in the north of the country whereas L5 was mostly observed in the south and L6 was scattered. The spatial distribution of genotypes had genetic geographic gradients. We did not obtain results enabling the detection of drug-resistance mutations. CONCLUSION/SIGNIFICANCE: We present the first national snapshot of the M. tuberculosis spoligotypes circulating in Nigeria based on ZN slides. Spoligotyping data can be obtained in a rapid and high-throughput manner with DNA extracted from ZN-stained slides, which may potentially improve our understanding of the genetic epidemiology of TB.","Mycobacterium tuberculosis complex genotypes circulating in Nigeria based on spoligotyping obtained from Ziehl-Neelsen stained slides extracted DNA.","12","e0006242","Molina-Moya B and Gomgnimbou MK and Spinasse L and Obasanya J and Oladimeji O and Dacombe R and Edwards T and Daragon XO and Lawson L and Abdurrahman ST and Cuevas LE and Dominguez J and Sola C"
"23","Aaron_1","NO","Annals of clinical microbiology and antimicrobials",NA,"Erratum to: Prevalence of tetracycline resistance genes among multi-drug resistant bacteria from selected water distribution systems in southwestern Nigeria.","14","41","Adesoji AT and Ogunjobi AA and Olatoye IO and Call DR"
"24","Aaron_1","NO","Scientific reports","Non-syndromic orofacial clefts (NSOFCs) are common birth defects with a complex etiology. While over 60 common risk loci have been identified, they explain only a small proportion of the heritability for NSOFCs. Rare variants have been implicated in the missing heritability. Thus, our study aimed to identify genes enriched with nonsynonymous rare coding variants associated with NSOFCs. Our sample included 814 non-syndromic cleft lip with or without palate (NSCL/P), 205 non-syndromic cleft palate only (NSCPO), and 2150 unrelated control children from Nigeria, Ghana, and Ethiopia. We conducted a gene-based analysis separately for each phenotype using three rare-variants collapsing models: (1) protein-altering (PA), (2) missense variants only (MO); and (3) loss of function variants only (LOFO). Subsequently, we utilized relevant transcriptomics data to evaluate associated gene expression and examined their mutation constraint using the gnomeAD database. In total, 13 genes showed suggestive associations (p = E-04). Among them, eight genes (ABCB1, ALKBH8, CENPF, CSAD, EXPH5, PDZD8, SLC16A9, and TTC28) were consistently expressed in relevant mouse and human craniofacial tissues during the formation of the face, and three genes (ABCB1, TTC28, and PDZD8) showed statistically significant mutation constraint. These findings underscore the role of rare variants in identifying candidate genes for NSOFCs.","Rare variants analyses suggest novel cleft genes in the African population.","14","14279","Alade A and Mossey P and Awotoye W and Busch T and Oladayo AM and Aladenika E and Olujitan M and Wentworth E and Anand D and Naicker T and Gowans LJJ and Eshete MA and Adeyemo WL and Zeng E and Van Otterloo E and O'Rorke M and Adeyemo A and Murray JC and Cotney J and Lachke SA and Romitti P and Butali A"
"25","Aaron_1","NO","Tropical and geographical medicine","The prevalence of the atypical phenotype of pseudocholinesterase was looked for in 345 individuals living in Zaria district of Northern Nigeria by the differential inhibitory actions of dibucaine and sodium fluoride. The frequency of the atypical gene, Ea1 was found to be 0.9% and the frequency of the fluoride insensitive phenotype Ef1, was 0.74%. The atypical enzyme or the intermediate phenotype was not observed in any of the 42 patients with sickle-cell disease.","The prevalence of atypical serum cholinesterase in a Nigerian population.","39","169-72","Ukoha AI and Nwoke UN and Rahman MM and Alam MS"
"26","Aaron_1","NO","African journal of laboratory medicine","BACKGROUND: Human papilloma virus (HPV) is associated with a subset of oropharyngeal squamous cell carcinoma and mouth or throat warts. However, there is currently limited information about oral HPV infections in Nigeria. OBJECTIVE: This study aimed to provide information on the occurrence and circulating genotypes of HPV among patients attending three (one government and two private) dental clinics in Ibadan, Nigeria. METHODS: An oral swab was collected from 231 dental clinic attendees in Ibadan between January 2016 and March 2017 and tested for HPV DNA by polymerase chain reaction targeting the E6/7 genes of the virus. RESULTS: Twenty-three of the 231 swab samples were HPV DNA positive comprising 16 mono-infections and seven co-infections in 13 males and ten females. Genotype 16 was present in ten patients, genotype 6/11 in five, Genotype 18 and genotype 33 in four each, genotype 31 in three and genotype 39 in one. Twenty-one cases were high-risk HPV genotypes, while two were low-risk. Samples had co-infection and five had low risk type 6/11 either as single or as co-infection. Persons who had engaged in oral sex as well as those aged 21-30 years has significantly higher prevalence. CONCLUSION: This study showed that although HPV genotype 16 is the most common type among dental clinic attendees in Ibadan, other genotypes are also circulating and that oral sex is a risk factor for the infection. Therefore, introducing a multivalent HPV vaccine will reduce the risk of HPV-associated oropharyngeal carcinoma and other cancers in Nigeria.","Oral human papilloma virus infection among dental clinic attendees in Ibadan, Nigeria.","11","1555","Faneye AO and Babalola OS and Odaibo GN and Arotiba J and Olaleye OD"
"27","Aaron_1","NO","PloS one","Molecular diagnostic testing has played a critical role in the global response to the novel Coronavirus disease (COVID-19) pandemic, since its first outbreak in late 2019. At the inception of the COVID-19 pandemic, nasopharyngeal swab sample analysis for COVID-19 diagnosis using the real-time polymerase chain reaction (RT-PCR) technique was the most widely used. However, due to the high cost and difficulty of sample collection, the number of available sample types for COVID-19 diagnosis is rapidly increasing, as is the COVID-19 diagnostic literature. The use of nasal swabs, saliva, and oral fluids as viable sample options for the effective detection of SARS-CoV-2 has been implemented successfully in different settings since 2020. These alternative sample type provides a plethora of advantages including decreasing the high exposure risk to frontline workers, enhancing the chances of home self-sampling, reducing the cost, and significantly increasing testing capacity. This study sought to ascertain the effectiveness of Saliva samples as an alternative for COVID-19 diagnosis in Nigeria. Demographic data, paired samples of Nasopharyngeal Swab and Drooling Saliva were obtained from 309 consenting individuals aged 8-83 years presenting for COVID-19 testing. All samples were simultaneously assayed for the detection of SARS-CoV-2 RdRp, N, and E genes using the GeneFinder™ COVID-19 Plus RT-PCR test kit. Out of 309 participants, only 299 with valid RT-PCR results comprising 159 (53.2%) males and 140 (46.8%) females were analyzed in this study using the R Statistical package. Among the 299 samples analyzed, 39 (13.0%) had SARS-CoV-2 detected in at least one specimen type. Both swabs and saliva were positive in 20 (51.3%) participants. Ten participants (25.6%) had swab positive/saliva-negative results and 9 participants (23.1%) had saliva positive/swab-negative results. The percentage of positive and negative agreement of the saliva samples with the nasopharyngeal swab were 67% and 97% respectively with positive and negative predictive values as 69% and 96% respectively. The findings indicate that drooling saliva samples have good and comparable diagnostic accuracy to the nasopharyngeal swabs with moderate sensitivities and high specificities.","Saliva sample for detection of SARS-CoV-2: A possible alternative for mass testing.","17","e0275201","Salu OB and Akase IE and Anyanwu RA and Orenolu MR and Abdullah MA and Giwa-Tubosun T and Oloko SA and Oshinjo AM and Abiola AA and Oyedeji KS and Omilabu SA"
